457,Equus zebra hartmannae,Hartmann's mountain zebra,3
458,Equus zebra ssp. zebra,Cape Mountain zebra,3
459,Equus zebra zebra,Mountain zebra,3
460,Eremichthys acros,Desert dace,0
461,Eremophila alpestris strigata,Streaked Horned lark,1
462,Eretmochelys imbricata,Hawksbill sea turtle,6
463,Erignathus barbatus nauticus,bearded Seal,3
464,Erimonax monachus,Spotfin Chub,0
465,Erimystax cahni,Slender chub,0
466,Erinna newcombi,Newcomb's snail,2
467,Eriocnemis nigrivestis,black-breasted puffleg,1
468,Eschrichtius robustus,Gray whale,3
469,Etheostoma akatulo,bluemask darter,0
470,Etheostoma boschungi,Slackwater darter,0
471,Etheostoma chermocki,Vermilion darter,0
472,Etheostoma chienense,Relict darter,0
473,Etheostoma etowahae,Etowah darter,0
474,Etheostoma fonticola,Fountain darter,0
475,Etheostoma moorei,Yellowcheek Darter,0
476,Etheostoma nianguae,Niangua darter,0
477,Etheostoma nuchale,Watercress darter,0
478,Etheostoma okaloosae,Okaloosa darter,0
479,Etheostoma percnurum,Duskytail darter,0
480,Etheostoma phytophilum,Rush Darter,0
481,Etheostoma rubrum,Bayou darter,0
482,Etheostoma scotti,Cherokee darter,0
483,Etheostoma sellare,Maryland darter,0
484,Etheostoma spilotum,Kentucky arrow darter,0
485,Etheostoma susanae,Cumberland darter,0
486,Etheostoma wapiti,Boulder darter,0
487,Eua zebrina,Snail [no common name],2
488,Eubalaena australis,Southern Right Whale,3
489,Eubalaena glacialis,North Atlantic Right Whale,3
490,Eubalaena japonica,North Pacific Right Whale,3
491,Eucyclogobius newberryi,Tidewater goby,0
492,Eudyptes chrysocome,southern rockhopper penguin,1
493,Eudyptes pachyrhynchus,fiordland crested penguin,1
494,Eudyptes sclateri,erect-crested penguin,1
495,Eudyptula albosignata,white-flippered penguin,1
496,Eulidia yarrellii,Chilean woodstar,1
497,Eumeces egregius lividus,Bluetail mole skink,6
498,Eumetopias jubatus,Steller sea lion,3
499,Eumops floridanus,Florida bonneted bat,3
500,Euphilotes battoides allyni,El Segundo blue butterfly,8
501,Euphilotes enoptes smithi,Smith's blue butterfly,8
502,Euphydryas editha bayensis,Bay checkerspot butterfly,8
503,Euphydryas editha quino (=E. e. wrighti),Quino checkerspot butterfly,8
504,Euphydryas editha taylori,Taylor's (=whulge) Checkerspot,8
505,Euphyllia paradivisa,No common name,4
506,Euproserpinus euterpe,Kern primrose sphinx moth,8
507,Eurycea chisholmensis,Salado Salamander,9
508,Eurycea nana,San Marcos salamander,9
